month,day,year,temp[c]
6,1,1752,
7,1,1752,
8,1,1752,
9,1,1752,
10,1,1752,8.214000000000002
11,1,1752,4.317000000000001
12,1,1752,-0.5709999999999995
1,1,1753,-5.162999999999999
2,1,1753,-4.918
3,1,1753,3.1099999999999994
4,1,1753,9.25
5,1,1753,16.28
6,1,1753,20.814
7,1,1753,22.375999999999998
8,1,1753,20.644
9,1,1753,15.969000000000001
10,1,1753,9.429999999999998
11,1,1753,2.476000000000001
12,1,1753,-5.654999999999999
1,1,1754,-5.486000000000001
2,1,1754,-6.8389999999999995
3,1,1754,0.5999999999999991
4,1,1754,11.677
5,1,1754,16.314
6,1,1754,21.035
7,1,1754,21.86
8,1,1754,20.085000000000004
9,1,1754,14.931
10,1,1754,9.835000000000003
11,1,1754,3.272999999999999
12,1,1754,-1.0679999999999998
1,1,1755,-7.164999999999999
2,1,1755,-6.967000000000001
3,1,1755,1.1040000000000008
4,1,1755,10.302
5,1,1755,17.088
6,1,1755,22.306000000000004
7,1,1755,22.629000000000005
8,1,1755,20.011000000000003
9,1,1755,15.452000000000002
10,1,1755,8.880999999999998
11,1,1755,3.363000000000002
12,1,1755,-2.799
1,1,1756,-2.317
2,1,1756,0.3300000000000007
3,1,1756,2.0860000000000016
4,1,1756,10.440000000000001
5,1,1756,16.898000000000003
6,1,1756,21.929000000000002
7,1,1756,22.377
8,1,1756,19.731
9,1,1756,16.418
10,1,1756,8.155999999999999
11,1,1756,1.2680000000000016
12,1,1756,-4.042000000000001
1,1,1757,-6.843
2,1,1757,-1.289
3,1,1757,2.2590000000000012
4,1,1757,9.923000000000002
5,1,1757,16.841
6,1,1757,23.778
7,1,1757,25.930999999999997
8,1,1757,22.034
9,1,1757,16.924
10,1,1757,5.447999999999999
11,1,1757,1.9159999999999993
12,1,1757,-5.151999999999999
1,1,1758,-9.289
2,1,1758,-4.84
3,1,1758,0.9389999999999985
4,1,1758,7.829
5,1,1758,14.302999999999999
6,1,1758,20.006000000000004
7,1,1758,21.500000000000004
8,1,1758,19.175
9,1,1758,13.558000000000002
10,1,1758,4.600999999999998
11,1,1758,2.854
12,1,1758,-2.4440000000000004
1,1,1759,-1.7659999999999996
2,1,1759,-1.8300000000000003
3,1,1759,1.8279999999999992
4,1,1759,7.195
5,1,1759,13.992999999999999
6,1,1759,20.537
7,1,1759,21.242000000000004
8,1,1759,22.023999999999997
9,1,1759,16.144
10,1,1759,8.274000000000001
11,1,1759,0.4740000000000006
12,1,1759,-6.893999999999999
1,1,1760,-8.0
2,1,1760,-3.9650000000000003
3,1,1760,-1.1260000000000008
4,1,1760,7.750000000000002
5,1,1760,14.931
6,1,1760,18.918000000000003
7,1,1760,20.805
8,1,1760,20.812000000000005
9,1,1760,15.994000000000002
10,1,1760,7.559000000000001
11,1,1760,2.307
12,1,1760,-2.5870000000000006
1,1,1761,-6.095000000000001
2,1,1761,-2.9389999999999996
3,1,1761,3.5280000000000005
4,1,1761,7.554999999999999
5,1,1761,17.293000000000003
6,1,1761,23.033
7,1,1761,25.423
8,1,1761,21.906000000000002
9,1,1761,16.911
10,1,1761,7.463
11,1,1761,1.700999999999999
12,1,1761,-6.835000000000001
1,1,1762,-0.6769999999999993
2,1,1762,-0.932000000000001
3,1,1762,0.3119999999999992
4,1,1762,9.802
5,1,1762,15.068
6,1,1762,21.047000000000004
7,1,1762,22.372
8,1,1762,20.029
9,1,1762,14.322999999999999
10,1,1762,6.302000000000001
11,1,1762,3.597999999999999
12,1,1762,-3.8540000000000005
1,1,1763,-6.507
2,1,1763,-3.756
3,1,1763,-1.441000000000001
4,1,1763,8.121000000000002
5,1,1763,14.934000000000001
6,1,1763,18.676
7,1,1763,23.849000000000004
8,1,1763,21.159000000000002
9,1,1763,14.418
10,1,1763,5.567000000000001
11,1,1763,1.2909999999999993
1,1,1764,-3.8949999999999996
2,1,1764,0.4359999999999984
3,1,1764,1.9880000000000013
4,1,1764,8.075
5,1,1764,15.644
6,1,1764,18.616999999999997
7,1,1764,21.388
8,1,1764,19.864
9,1,1764,15.024
10,1,1764,9.389
11,1,1764,2.935000000000001
12,1,1764,0.5269999999999995
1,1,1765,-1.6709999999999998
2,1,1765,-3.2709999999999995
3,1,1765,3.5850000000000017
4,1,1765,10.006000000000002
5,1,1765,14.693999999999999
6,1,1765,18.366000000000003
7,1,1765,20.929000000000002
8,1,1765,21.055
9,1,1765,15.230000000000002
10,1,1765,8.55
11,1,1765,3.677999999999998
12,1,1765,-2.019
1,1,1766,-7.672
2,1,1766,-2.891000000000001
3,1,1766,2.7039999999999984
4,1,1766,9.500000000000002
5,1,1766,16.455000000000002
6,1,1766,20.074
7,1,1766,20.886999999999997
8,1,1766,20.803000000000004
9,1,1766,16.548000000000002
10,1,1766,8.376
11,1,1766,4.976000000000001
12,1,1766,-2.5380000000000003
1,1,1767,-9.115
2,1,1767,-3.037
3,1,1767,3.116999999999999
4,1,1767,6.4990000000000006
5,1,1767,14.590000000000002
6,1,1767,20.378000000000004
7,1,1767,21.367
8,1,1767,21.892999999999997
9,1,1767,16.252
10,1,1767,9.372
11,1,1767,6.082000000000001
12,1,1767,-3.551
1,1,1768,-9.512
2,1,1768,-6.707000000000001
3,1,1768,-1.530000000000001
4,1,1768,8.187000000000001
5,1,1768,13.266
6,1,1768,18.979
7,1,1768,21.851000000000003
8,1,1768,20.090999999999998
9,1,1768,15.126
10,1,1768,7.823000000000001
11,1,1768,2.718999999999999
12,1,1768,-1.2000000000000002
1,1,1769,-2.5710000000000006
2,1,1769,-3.6100000000000008
3,1,1769,1.4859999999999987
4,1,1769,9.404
5,1,1769,16.545
6,1,1769,21.643000000000004
7,1,1769,22.105
